Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
R Mulliniks,3B,1325,445,972,73,435,555,0.272,0.354
O Saenz,1B,733,226,438,73,275,355,0.263,0.34
O Hale,2B,1062,551,1071,73,573,315,0.289,0.352
H Simpson,OF,888,343,752,73,381,429,0.266,0.331
R Swoboda,RF,928,285,624,73,344,647,0.242,0.324
A Benintendi,LF,750,399,783,73,384,578,0.278,0.351
J Moore,RF,846,439,926,73,452,176,0.307,0.352
B Allen,2B,1141,357,815,73,351,424,0.239,0.314
W Smith,C,361,194,320,73,235,273,0.263,0.357
H Blanco,C,971,274,615,72,298,546,0.223,0.288
C Maybin,CF,1162,556,973,72,354,921,0.254,0.323
R Jefferson,DH,680,285,637,72,300,451,0.3,0.349
G Burns,1B,1869,901,2018,72,951,433,0.307,0.354
J Lindell,CF,854,401,762,72,404,366,0.273,0.344
M Young,LF,635,244,454,72,235,465,0.247,0.338
F Demaree,RF,1155,578,1241,72,591,269,0.299,0.357
G Davis,SS,991,1539,2660,72,1437,180,0.295,0.361
F Leach,LF,991,543,1147,72,509,189,0.307,0.341
M Page,DH,673,297,560,72,259,449,0.266,0.346
S Souza Jr.,RF,505,223,383,72,207,601,0.229,0.318
B Lawrie,3B,588,266,578,71,253,487,0.261,0.315
B Lowe,2B,540,1131,1929,71,984,215,0.273,0.325
R Hassey,C,1192,348,914,71,438,378,0.266,0.34
B Ewing,C,1315,1129,1625,71,883,294,0.303,0.351
C Hern?ndez,2B,1186,590,1144,71,369,926,0.267,0.341
H Dozier,3B,568,250,483,71,226,594,0.239,0.306
J Harrison,2B,1170,492,1060,71,378,642,0.272,0.317
W Rosario,1B,447,204,413,71,241,354,0.273,0.306
B Lewis,3B,1348,830,1563,71,607,303,0.297,0.368
C Ruiz,C,1137,405,935,71,415,499,0.264,0.35
T Brookens,3B,1336,477,950,71,431,605,0.246,0.296
E Jim?nez,RF,321,160,331,71,214,325,0.275,0.327
L Forsythe,2B,971,389,762,71,307,757,0.244,0.326
V Law,3B,1212,453,972,71,442,602,0.256,0.326
T Greene,C,536,181,397,71,217,332,0.252,0.286
D Thon,SS,1387,496,1176,71,435,658,0.264,0.317
J Judge,1B,2173,1185,2352,71,1034,478,0.298,0.378
C Kotchman,1B,939,322,799,71,388,339,0.26,0.326
D Span,CF,1359,773,1498,71,490,716,0.281,0.347
E Smith,OF,1014,468,881,70,541,359,0.276,0.344
M Carey,CF,2466,1545,2665,70,800,695,0.285,0.361
R Milligan,1B,703,305,553,70,284,431,0.261,0.391
A Meadows,RF,414,209,389,70,237,362,0.26,0.335
M Webster,CF,1265,504,900,70,342,578,0.263,0.33
H Richardson,2B,1331,1120,1688,70,822,445,0.299,0.344
J Hairston,2B,1442,580,1126,70,420,572,0.257,0.324
A Simmons,SS,1226,501,1169,70,444,461,0.263,0.312
J Mumphrey,CF,1585,660,1442,70,575,688,0.289,0.349
G Templeton,SS,2079,893,2096,70,728,1092,0.271,0.304
D Williams,LF,1023,358,768,70,331,392,0.26,0.312
G Hubbard,2B,1354,545,1084,70,448,640,0.244,0.328
D Cruz,SS,1234,442,1109,70,464,429,0.269,0.293
G Braggs,LF,692,308,601,70,321,472,0.257,0.322
K Shoppach,C,572,208,361,70,216,624,0.223,0.312
J Shelby,CF,1036,389,739,70,313,671,0.239,0.281
B Joyce,3B,904,820,970,70,607,280,0.294,0.435
T O'Neill,CF,408,213,310,70,198,427,0.251,0.32
L Nix,CF,758,235,460,69,249,534,0.24,0.286
M Carreon,1B,738,246,557,69,289,246,0.277,0.327
D Fondy,1B,967,437,1000,69,373,526,0.286,0.324
C Vollmer,LF,685,283,508,69,339,328,0.251,0.335
C Smith,3B,771,228,594,69,281,565,0.239,0.279
R Fick,1B,846,287,613,69,324,386,0.258,0.328
B Falk,LF,1354,657,1463,69,784,279,0.314,0.372
J Ellis,1B,883,259,699,69,391,403,0.262,0.312
R Rolfe,3B,1175,942,1394,69,497,335,0.289,0.36
M Bellhorn,2B,731,324,484,69,246,723,0.23,0.341
R Healy,1B,405,177,395,69,214,357,0.261,0.298
T Lepcio,2B,729,233,512,69,251,471,0.245,0.318
D Sveum,SS,862,305,597,69,340,656,0.236,0.298
M Lamb,3B,975,382,746,69,349,409,0.276,0.332
J Reilly,1B,1142,898,1352,69,740,156,0.289,0.325
B Bichette,SS,396,264,484,69,240,370,0.298,0.341
G Van Haltren,CF,245,1639,2539,69,1014,305,0.317,0.386
K Kelly,RF,1455,1357,1813,69,950,418,0.308,0.368
T Long,CF,890,428,824,69,376,460,0.269,0.318
J Greengrass,LF,504,243,482,69,282,271,0.269,0.33
P Borders,C,1099,289,831,69,346,557,0.253,0.288
S Henderson,LF,1085,459,976,68,428,677,0.28,0.352
M Scioscia,C,1441,398,1131,68,446,307,0.259,0.344
E Roush,CF,1748,1099,2376,68,981,260,0.323,0.369
N Ahmed,SS,819,331,638,68,305,578,0.236,0.29
G Wood,LF,1280,965,1467,68,601,547,0.273,0.329
A Shamsky,RF,665,194,426,68,233,254,0.253,0.33
L Gurriel Jr.,LF,472,225,495,68,254,382,0.284,0.328
K Reitz,3B,1344,366,1243,68,548,518,0.26,0.29
R McMillan,SS,2093,739,1639,68,594,711,0.243,0.314
L Boudreau,SS,1646,861,1779,68,789,309,0.295,0.38
M Shannon,3B,882,313,710,68,367,525,0.255,0.311
J Blanchard,C,516,137,285,67,200,163,0.239,0.317
D Ruf,1B,562,195,340,67,202,444,0.239,0.329
M Wilson,OF,1403,731,1397,67,438,866,0.274,0.314
